gender,city,work_type,company_size,position,level,experience,tech_stack,currency,raise_period,salary
Kadın,İstanbul,Ofis,101 - 249 Kişi,SAP/ABAP Developer & Consultant,Middle,1 - 3 Yıl,C#,₺ - Türk Lirası,2,37.000 - 37.999
Kadın,İstanbul,Remote,250+,Business Analyst,Senior,3 - 5 Yıl,Sql,₺ - Türk Lirası,2,63.000 - 63.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Software Architect,Senior,15 Yıl ve üzeri,Java,₺ - Türk Lirası,1,155.000 - 159.999
Erkek,İstanbul,Remote,101 - 249 Kişi,Full Stack Developer,Senior,7 - 10 Yıl,.Net;JavaScript | Html | Css;Vue,₺ - Türk Lirası,1,67.000 - 67.999
Erkek,İstanbul,Remote,21 - 50 Kişi,Back-end Developer,Middle,3 - 5 Yıl,Python,$ - Dolar,1,3.000 - 3.999
Erkek,İstanbul,Remote,6 - 10 Kişi,Blockchain Developer,Middle,3 - 5 Yıl,Go;JavaScript | Html | Css;Solidity,$ - Dolar,1,3.000 - 3.999
Erkek,Ankara,Remote,51 - 100 Kişi,Mobile Application Developer (Android),Senior,5 - 7 Yıl,Kotlin,$ - Dolar,1,4.000 - 4.999
Erkek,Ankara,Hibrit (Ofis + Remote),250+,Back-end Developer,Senior,7 - 10 Yıl,.Net,₺ - Türk Lirası,1,80.000 - 84.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Product Owner,Senior,7 - 10 Yıl,Java;.Net,₺ - Türk Lirası,2,80.000 - 84.999
Erkek,İstanbul,Hibrit (Ofis + Remote),11 - 20 Kişi,Data Scientist,Middle,1 - 3 Yıl,Python;SQL,₺ - Türk Lirası,1,45.000 - 45.999
Erkek,* İsviçre,Remote,51 - 100 Kişi,Cyber Security,Junior,1 - 3 Yıl,"Python;Burp Suite, Nessus, OWASP ZAP with Kali Linux",$ - Dolar,1,1.000 - 1.999
